Accession,Original Taxonomy,Updated Taxonomy,Final Taxonomy,Name,Original Evaluation,Updated Evaluation,Final Classifier,ContML data
AAA02942.1,Begomovirus,Begomovirus,Begomovirus,replicative protein,X,X,X,
AAA42751.2,Curtovirus,Curtovirus,Curtovirus,[Beet curly top virus - California,X,X,X,X
AAA42972.1,Mastrevirus,Mastrevirus,Mastrevirus,replication associated protein A,X,X,X,
AAA46312.1,Begomovirus,Begomovirus,Begomovirus,putative replicative protein,X,X,X,
AAA47950.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA protein,X,X,X,
AAA47955.1,Begomovirus,Begomovirus,Begomovirus,C1 protein,X,X,X,
AAA92811.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
AAA92821.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AAB02132.1,Begomovirus,Begomovirus,Begomovirus,replication protein,X,X,X,
AAB08932.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAB18173.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AAB18926.1,Curtovirus,Curtovirus,Curtovirus,rep,X,X,X,X
AAB25544.1,Babuvirus,Babuvirus,Babuvirus,replicase,X,X,X,
AAB40392.1,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
AAB61145.1,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
AAB63456.1,Mastrevirus,Mastrevirus,Mastrevirus,replication-associated protein A,X,X,X,
AAB65397.1,Mastrevirus,Mastrevirus,Mastrevirus,replication associated protein A,X,X,X,
AAB66667.1,Begomovirus,Begomovirus,Begomovirus,Rep,X,X,X,
AAB87607.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAC05152.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,
AAC09254.1,Begomovirus,Begomovirus,Begomovirus,Rep,X,X,X,
AAC32402.1,Begomovirus,Begomovirus,Begomovirus,replicative protein,X,X,X,
AAC32414.1,Begomovirus,Begomovirus,Begomovirus,replicative protein,X,X,X,
AAC34819.1,Circovirus,Circovirus,Circovirus,replication-associated protein,X,X,X,
AAC35298.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
AAC35320.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
AAC54875.1,Curtovirus,Curtovirus,Curtovirus,rep,X,X,X,X
AAC56593.1,Circovirus,Circovirus,Circovirus,putative PCV replication-associated protein (REP),X,X,X,
AAC59462.1,Circovirus,Circovirus,Circovirus,putative Rep protein,X,X,X,
AAC69861.1,Circovirus,Circovirus,Circovirus,putative replication-associated protein,X,X,X,
AAC98078.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AAC98082.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AAC98086.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AAC98788.1,Babuvirus,Babuvirus,Babuvirus,replicase protein,X,X,X,X
AAC99359.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein C1,X,X,X,
AAD01542.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
AAD03061.1,Circovirus,NaN,NaN,putative Rep and coat protein,X,,,
AAD03071.1,Circovirus,NaN,NaN,putative Rep and coat protein,X,,,
AAD03086.1,Circovirus,NaN,NaN,putative Rep and coat protein,X,,,
AAD05263.1,Begomovirus,Begomovirus,Begomovirus,replication protein,X,X,X,
AAD09275.1,Babuvirus,Babuvirus,Babuvirus,replicase,X,X,X,X
AAD09395.1,Begomovirus,Begomovirus,Begomovirus,C1,X,X,X,
AAD09668.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,X
AAD10465.1,Begomovirus,Begomovirus,Begomovirus,putative replicative protein,X,X,X,
AAD10471.1,Begomovirus,Begomovirus,Begomovirus,putative replicative protein,X,X,X,
AAD14625.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAD17898.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
AAD17968.1,Begomovirus,Begomovirus,Begomovirus,Rep,X,X,X,
AAD20641.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
AAD22940.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
AAD30059.2,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAD33452.2,Begomovirus,Begomovirus,Begomovirus,replication-associated protein Rep,X,X,X,
AAD37321.2,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAD38398.1,Circovirus,Circovirus,Circovirus,ORF1,X,X,X,
AAD39153.1,Begomovirus,Begomovirus,Begomovirus,rep protein,X,X,X,
AAD40938.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
AAD40946.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
AAD45580.2,Circovirus,Circovirus,Circovirus,Rep,X,X,X,
AAD47173.1,Begomovirus,Begomovirus,Begomovirus,replication initiation protein AC1,X,X,X,
AAD50432.1,Circovirus,Circovirus,Circovirus,Rep,X,X,X,
AAD51287.1,Begomovirus,Begomovirus,Begomovirus,C1,X,X,X,
AAD53082.1,Begomovirus,Begomovirus,Begomovirus,rep protein,X,X,X,
AAF02098.1,Begomovirus,Begomovirus,Begomovirus,AC1 replicase-associated protein,X,X,X,
AAF04155.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAF04830.1,Begomovirus,Begomovirus,Begomovirus,AL2,X,X,X,
AAF04839.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAF06958.1,Begomovirus,Begomovirus,Begomovirus,replication initiation protein,X,X,X,
AAF21928.1,Babuvirus,Babuvirus,Babuvirus,replicase,X,X,X,X
AAF22210.1,Begomovirus,Begomovirus,Begomovirus,replication initiation protein AC1,X,X,X,
AAF32402.2,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
AAF34895.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
AAF35296.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
AAF35302.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,X
AAF36703.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
AAF36708.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
AAF42737.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AAF42744.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AAF44669.1,Begomovirus,Begomovirus,Begomovirus,rep protein,X,X,X,
AAF63699.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAF63746.1,Begomovirus,Begomovirus,Begomovirus,replicase AC1,X,X,X,
AAF74196.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
AAF75536.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AAF75542.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AAF76868.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AAF78039.1,Babuvirus,Babuvirus,Babuvirus,replication initiation protein,X,X,X,
AAF82373.1,Begomovirus,Begomovirus,Begomovirus,rep protein,X,X,X,
AAF87236.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
AAF91376.1,Begomovirus,Begomovirus,Begomovirus,C1,X,X,X,
AAF97439.1,Begomovirus,Begomovirus,Begomovirus,Rep,X,X,X,
AAF97593.1,Circovirus,NaN,NaN,Rep,X,,,
AAF97759.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AAF97763.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AAG01006.1,Begomovirus,Begomovirus,Begomovirus,replication association protein,X,X,X,
AAG15546.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAG27475.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
AAG30269.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAG30546.1,Circovirus,Circovirus,Circovirus,putative replicase-associated protein,X,X,X,X
AAG30549.1,Circovirus,Circovirus,Circovirus,putative replicase-associated protein,X,X,X,
AAG30552.1,Circovirus,Circovirus,Circovirus,putative replicase-associated protein,X,X,X,
AAG30555.1,Circovirus,Circovirus,Circovirus,putative replicase-associated protein,X,X,X,
AAG30558.1,Circovirus,Circovirus,Circovirus,putative replicase-associated protein,X,X,X,
AAG30561.1,Circovirus,Circovirus,Circovirus,putative replicase-associated protein,X,X,X,
AAG30564.1,Circovirus,Circovirus,Circovirus,putative replicase-associated protein,X,X,X,
AAG30567.1,Circovirus,Circovirus,Circovirus,putative replicase-associated protein,X,X,X,
AAG44003.1,Babuvirus,Babuvirus,Babuvirus,replication initiation protein,X,X,X,X
AAG44004.1,Babuvirus,Babuvirus,Babuvirus,replication initiation protein,X,X,X,
AAK06529.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAK06535.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAK06852.2,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AAK15064.1,Babuvirus,Babuvirus,Babuvirus,putative replicase,X,X,X,
AAK15065.1,Babuvirus,Babuvirus,Babuvirus,putative replicase,X,X,X,
AAK16440.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAK19174.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AAK35221.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
AAK49563.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
AAK50357.1,Begomovirus,Begomovirus,Begomovirus,rep protein,X,X,X,
AAK51544.1,Circovirus,Circovirus,Circovirus,putative Rep protein,X,X,X,
AAK56296.1,Circovirus,Circovirus,Circovirus,putative replicase,X,X,X,
AAK56300.1,Circovirus,Circovirus,Circovirus,putative replicase,X,X,X,
AAK58530.1,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
AAK59260.1,Curtovirus,Curtovirus,Curtovirus,Rep,X,X,X,X
AAK60462.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
AAK64530.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein Rep,X,X,X,
AAK64537.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein Rep,X,X,X,
AAK64542.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein Rep,X,X,X,
AAK64548.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein Rep,X,X,X,
AAK64554.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein Rep,X,X,X,X
AAK69590.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAK69637.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAK69688.1,Begomovirus,Begomovirus,Begomovirus,C1,X,X,X,
AAK70852.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAK73433.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AAK73437.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AAK73449.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AAK73453.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AAK73457.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AAK73461.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AAK73465.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AAK73469.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AAK73473.1,Mastrevirus,Mastrevirus,Mastrevirus,RepA,X,X,X,
AAK83147.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAK97348.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,
AAK97536.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAL00893.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein AC1,X,X,X,
AAL05272.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAL05279.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAL05287.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAL05293.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAL05299.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAL09029.1,Babuvirus,Babuvirus,Babuvirus,replication initiation protein,X,X,X,
AAL09040.1,Begomovirus,Begomovirus,Begomovirus,replication initiation protein,X,X,X,
AAL11519.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAL15844.1,Babuvirus,Babuvirus,Babuvirus,replication initiation protein,X,X,X,X
AAL15845.1,Babuvirus,Babuvirus,Babuvirus,replication initiation protein,X,X,X,
AAL15846.1,Babuvirus,Babuvirus,Babuvirus,replication initiation protein,X,X,X,
AAL15847.1,Babuvirus,Babuvirus,Babuvirus,Replication associated protein,X,X,X,
AAL15848.1,Babuvirus,Babuvirus,Babuvirus,replication initiation protein,X,X,X,
AAL26556.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein AC1,X,X,X,
AAL47673.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAL58397.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
AAL60210.2,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAL60214.2,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAL60510.1,Begomovirus,Begomovirus,Begomovirus,replication protein,X,X,X,
AAL69643.1,Begomovirus,Begomovirus,Begomovirus,rep protein,X,X,X,
AAL69968.1,Circovirus,Circovirus,Circovirus,putative Rep protein,X,X,X,
AAL78669.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAL79818.1,Begomovirus,Begomovirus,Begomovirus,Rep associated protein,X,X,X,
AAL89631.1,Babuvirus,Babuvirus,Babuvirus,replication initiation protein,X,X,X,
AAL89632.1,Babuvirus,Babuvirus,Babuvirus,replication initiation protein,X,X,X,
AAL89633.1,Babuvirus,Babuvirus,Babuvirus,replication initiation protein,X,X,X,
AAL89634.1,Babuvirus,Babuvirus,Babuvirus,replication initiation protein,X,X,X,
AAL89635.1,Babuvirus,Babuvirus,Babuvirus,replication initiation protein,X,X,X,
AAL89636.1,Babuvirus,Babuvirus,Babuvirus,replication initiation protein,X,X,X,X
AAL89637.1,Babuvirus,Babuvirus,Babuvirus,replication initiation protein,X,X,X,X
AAL89638.1,Babuvirus,Babuvirus,Babuvirus,replication initiation protein,X,X,X,
AAL89639.1,Babuvirus,Babuvirus,Babuvirus,replication initiation protein,X,X,X,
AAL96822.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein AC1,X,X,X,
AAL96826.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein AC1,X,X,X,
AAM00362.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
AAM12371.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein Rep,X,X,X,
AAM12379.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein Rep,X,X,X,
AAM12385.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein Rep,X,X,X,
AAM12754.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAM21569.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAM21844.1,Circovirus,Circovirus,Circovirus,Rep protein,X,X,X,
AAM21845.1,Circovirus,Circovirus,Circovirus,Rep protein,X,X,X,
AAM33781.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAM48573.1,Begomovirus,Begomovirus,Begomovirus,replication initiation protein AC1,X,X,X,
AAM61266.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
AAM61274.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
AAM78600.1,Begomovirus,Begomovirus,Begomovirus,replication protein,X,X,X,
AAM80474.1,Begomovirus,Begomovirus,Begomovirus,C1 protein,X,X,X,
AAM82162.1,Begomovirus,Begomovirus,Begomovirus,replicase associated protein,X,X,X,
AAM83186.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
AAN06927.1,Curtovirus,Curtovirus,Curtovirus,replication-associated protein,X,X,X,X
AAN08522.1,Begomovirus,Begomovirus,Begomovirus,Rep,X,X,X,
AAN16398.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
AAN62767.1,Circovirus,Circovirus,Circovirus,Rep,X,X,X,
AAN76737.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein AC1,X,X,X,
AAN77859.1,Circovirus,Circovirus,Circovirus,rep,X,X,X,
AAO13739.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AAO13746.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AAO15923.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAO15929.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAO23145.1,Circovirus,Circovirus,Circovirus,putative Rep protein,X,X,X,
AAO23147.1,Circovirus,Circovirus,Circovirus,putative Rep protein,X,X,X,
AAO24124.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
AAO24126.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
AAO25671.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
AAO34421.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AAO34427.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AAO49269.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein AC1,X,X,X,
AAO61773.1,Circovirus,Circovirus,Circovirus,putative replication protein,X,X,X,
AAO62612.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAO64396.1,Babuvirus,Babuvirus,Babuvirus,replicase,X,X,X,X
AAP13957.1,Mastrevirus,Mastrevirus,Mastrevirus,replicase A,X,X,X,
AAP23244.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,
AAP23252.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,
AAP23258.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,
AAP33483.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAP33484.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAP34715.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAP34721.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAP34727.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAP37410.1,Begomovirus,Begomovirus,Begomovirus,replication initiation protein,X,X,X,
AAP42464.1,Circovirus,Circovirus,Circovirus,Rep protein,X,X,X,
AAP42466.1,Circovirus,Circovirus,Circovirus,Rep protein,X,X,X,
AAP42468.1,Circovirus,Circovirus,Circovirus,Rep protein,X,X,X,
AAP44182.1,Circovirus,Circovirus,Circovirus,Rep,X,X,X,
AAP44185.1,Circovirus,Circovirus,Circovirus,Rep,X,X,X,
AAP44188.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
AAP47116.1,Begomovirus,Begomovirus,Begomovirus,replication initiation protein,X,X,X,
AAP47124.1,Begomovirus,Begomovirus,Begomovirus,replication initiation protein,X,X,X,
AAP47131.1,Begomovirus,Begomovirus,Begomovirus,replication initiation protein,X,X,X,
AAP51128.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
AAP57391.1,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
AAP69226.1,Circovirus,Circovirus,Circovirus,Rep,X,X,X,
AAP70017.1,Begomovirus,Begomovirus,Begomovirus,C1 protein,X,X,X,
AAP73446.1,Begomovirus,Begomovirus,Begomovirus,replication initiation protein AC1,X,X,X,
AAP83597.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
AAP83599.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
AAQ03996.1,Circovirus,Circovirus,Circovirus,putative replication associated protein,X,X,X,
AAQ16294.1,Begomovirus,Begomovirus,Begomovirus,replication protein,X,X,X,
AAQ16299.1,Begomovirus,Begomovirus,Begomovirus,replication protein,X,X,X,
AAQ21052.1,Begomovirus,Begomovirus,Begomovirus,replication protein,X,X,X,
AAQ21057.1,Begomovirus,Begomovirus,Begomovirus,replication protein,X,X,X,
AAQ63161.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,
AAQ63610.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAQ96327.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,X
AAR03714.1,Circovirus,Circovirus,Circovirus,Rep,X,X,X,
AAR03716.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
AAR21081.1,Babuvirus,Babuvirus,Babuvirus,replication initiation protein,X,X,X,
AAR28041.1,Circovirus,Circovirus,Circovirus,Rep,X,X,X,
AAR28538.1,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
AAR28545.1,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
AAR89439.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein C1,X,X,X,
AAR89445.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein C1,X,X,X,
AAR89451.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein C1,X,X,X,
AAR95968.1,Begomovirus,Begomovirus,Begomovirus,REP,X,X,X,
AAR95975.1,Begomovirus,Begomovirus,Begomovirus,REP,X,X,X,
AAR98585.1,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
AAR98591.1,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
AAR98597.1,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
AAS46329.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein C1,X,X,X,
AAS55088.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
AAS55094.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAS55100.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAS65981.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,X
AAS66190.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
AAS66192.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
AAS66198.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,X
AAS86154.1,Curtovirus,Curtovirus,Curtovirus,Rep,X,X,X,X
AAS89260.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,X
AAS90297.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
AAS93267.1,Circovirus,Circovirus,Circovirus,putative replication-associated protein,X,X,X,
AAS93271.1,Circovirus,Circovirus,Circovirus,putative replication-associated protein,X,X,X,
AAS93275.1,Circovirus,Circovirus,Circovirus,putative replication-associated protein,X,X,X,
AAS93278.1,Circovirus,Circovirus,Circovirus,putative replication-associated protein,X,X,X,
AAS93282.1,Circovirus,Circovirus,Circovirus,putative replication-associated protein,X,X,X,
AAT00468.1,Circovirus,Circovirus,Circovirus,putative replicase-associated protein,X,X,X,
AAT00470.1,Circovirus,Circovirus,Circovirus,putative replicase-associated protein,X,X,X,
AAT00472.1,Circovirus,Circovirus,Circovirus,putative replicase-associated protein,X,X,X,
AAT00474.1,Circovirus,Circovirus,Circovirus,putative replicase-associated protein,X,X,X,
AAT00475.1,Circovirus,Circovirus,Circovirus,putative replicase-associated protein,X,X,X,
AAT00476.1,Circovirus,Circovirus,Circovirus,putative replicase-associated protein,X,X,X,
AAT00477.1,Circovirus,Circovirus,Circovirus,putative replicase-associated protein,X,X,X,
AAT00478.1,Circovirus,Circovirus,Circovirus,putative replicase-associated protein,X,X,X,
AAT00479.1,Circovirus,Circovirus,Circovirus,putative replicase-associated protein,X,X,X,
AAT00480.1,Circovirus,Circovirus,Circovirus,putative replicase-associated protein,X,X,X,
AAT02506.1,Begomovirus,Begomovirus,Begomovirus,C1,X,X,X,
AAT36358.1,Circovirus,Circovirus,Circovirus,replicase protein,X,X,X,
AAT39460.1,Circovirus,NaN,NaN,replicase,X,,,
AAT51965.1,Circovirus,Circovirus,Circovirus,replication protein,X,X,X,
AAT58234.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
AAT67156.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
AAT72755.1,Circovirus,Circovirus,Circovirus,rep,X,X,X,X
AAT72901.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
AAT79579.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
AAT97644.1,Circovirus,Circovirus,Circovirus,rep,X,X,X,X
AAT97646.1,Circovirus,Circovirus,Circovirus,rep,X,X,X,
AAT97648.1,Circovirus,Circovirus,Circovirus,rep,X,X,X,
AAU00333.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
AAU00339.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
AAU01913.1,Circovirus,Circovirus,Circovirus,rep,X,X,X,
AAU08299.1,Begomovirus,Begomovirus,Begomovirus,replication-association protein,X,X,X,
AAU13780.1,Circovirus,Circovirus,Circovirus,Rep,X,X,X,
AAU29404.1,Begomovirus,Begomovirus,Begomovirus,rep protein,X,X,X,
AAU29485.2,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAU34001.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
AAU84911.1,Begomovirus,Begomovirus,Begomovirus,rep protein,X,X,X,
AAU87296.1,Begomovirus,Begomovirus,Begomovirus,replicase,X,X,X,
AAU87513.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
AAU87519.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
AAV27291.2,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAV34141.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
AAV54509.1,Begomovirus,Begomovirus,Begomovirus,rep protein,X,X,X,
AAW28993.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
AAW55549.1,Begomovirus,Begomovirus,Begomovirus,replication associated protein,X,X,X,
AAW78463.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
AAW78467.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
AAW78473.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
AAW78475.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
AAW78479.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
AAW79865.1,Circovirus,NaN,NaN,replication protein,X,,,
AAW82633.1,Begomovirus,Begomovirus,Begomovirus,AC1,X,X,X,
AAW82640.1,Begomovirus,Begomovirus,Begomovirus,replication protein,X,X,X,
AAX10150.1,Circovirus,Circovirus,Circovirus,replicase,X,X,X,
AAX21105.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
AAX21498.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
AAX21504.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
AAX21510.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
AAX39336.1,Begomovirus,Begomovirus,Begomovirus,replication-associated protein,X,X,X,
