Accession,Original Taxonomy,Updated Taxonomy,Final Taxonomy,Name,Original Evaluation,Updated Evaluation,Final Classifier,ContML data
AGR83968.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
AGR84091.1,Begomovirus,Begomovirus,Begomovirus,Rep,X,X,X,
AGR84101.1,Begomovirus,Begomovirus,Begomovirus,Rep,X,X,X,
AGR84113.1,Begomovirus,Begomovirus,Begomovirus,Rep,X,X,X,
AGR84119.1,Begomovirus,Begomovirus,Begomovirus,Rep,X,X,X,
AGR84121.1,Begomovirus,Begomovirus,Begomovirus,Rep,X,X,X,
AGR84126.1,Begomovirus,Begomovirus,Begomovirus,Rep,X,X,X,
AGR84130.1,Begomovirus,Begomovirus,Begomovirus,Rep,X,X,X,
AGR84135.1,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
AGR84141.1,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
AGR84149.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
AGR88308.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
AGR88315.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
AGR88322.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
AGR88329.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
AGR88336.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
AGR88343.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
AGR88350.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
AGR88357.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
AGR88910.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
AGR89963.1,Circovirus,Circovirus,Circovirus,replication protein,X,X,X,
AGR89971.1,Circovirus,Circovirus,Circovirus,replication protein,X,X,X,
AGR89989.1,Circovirus,Circovirus,Circovirus,replication protein,X,X,X,
AGR92029.1,Begomovirus,Begomovirus,Begomovirus,replication initiator protein,X,X,X,
AGS12458.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
AGS12464.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
AGS12469.1,Begomovirus,Begomovirus,Begomovirus,Rep protein,X,X,X,
AGS12473.1,Begomovirus,Begomovirus,Begomovirus,AC1 protein,X,X,X,
AGS12593.1,Circovirus,Circovirus,Circovirus,putative replication-associated protein,X,X,X,
AGS41462.1,Circovirus,Circovirus,Circovirus,rep protein,X,X,X,
